VIN,EXTERIOR,INTERIOR,DATE_SOLD,CUSTOMER_ID
19UUB1F30LA009462,Majestic Black Pearl,Parchment Leatherette,,
19UUB1F30LA012264,Modern Steel Metallic,Ebony Leatherette,,
19UUB1F36LA012396,Majestic Black Pearl,Ebony Leatherette,,
19UUB1F51LA008838,Majestic Black Pearl,Ebony Leather,,
19UUB1F51LA012470,Majestic Black Pearl,Ebony Leather,,
19UUB1F58LA011901,Platinum white Pearl,Parchment Leather,,
19UUB1F58LA011929,Platinum white Pearl,Parchment Leather,,
19UUB2F32LA000798,Platinum White Pearl,Ebony Leatherette,,
19UUB2F32LA002387,Platinum White Pearl,Ebony Leatherette,,
19UUB2F33LA000731,Platinum White Pearl,Parchment Leatherette,,
19UUB2F34LA001631,Platinum White Pearl,Parchment Leatherette,,
19UUB2F35LA005011,Majestic Black Pearl,Ebony Leatherette,,
19UUB2F37LA002496,Platinum white Pearl,Parchment Leather,,
19UUB2F48LA004427,Platinum white Pearl,Espresso Leather,,
19UUB2F62LA004599,Platinum white Pearl,Red Leather,,
19UUB2F62LA004635,Platinum white Pearl,Red Leather,,
19UUB3F36LA001510,Platinum white Pearl,Parchment Leatherette,,
19UUB3F63LA003063,Majestic Black Pearl,Ebony Leather,,
19UUB3F8XLY000301,Valencia Red Pearl,Ebony Leather,,
JH4KC1F52LC000236,Modern Steel Metallic,Graystone Leather,,
JH4KC1F53LC000133,Platinum white Pearl,Espresso Leather,,
JH4KC1F5XLC000081,Fathom Blue Pearl,Graystone Leather,,
JH4KC2F94LC000067,Brilliant Red Metallic,Ebony Leather,,
19UDE2F34LA002737,Platinum white Pearl,Ebony Leatherette,,
19UDE2F37LA000948,Platinum white Pearl,Ebony Leatherette,,
19UDE2F38LA003261,Platinum white Pearl,Ebony Leatherette,,
19UDE2F75LA002314,Platinum white Pearl,Espresso Leather,,
19UDE2F77LA000421,Majestic Black Pearl,Espresso Leather,,
19UDE2F80LA002701,Platinum White Pearl,Red Leather,,
5J8YD4H04LL023143,Majestic Black Pearl,Ebony Leather,,
5J8YD4H0XLL023017,Apex Blue Pearl,Ebony Leather,,
5J8YD4H30LL000436,Performance Red Pearl,Parchment Leather,,
5J8YD4H31LL007914,Performance Red Pearl,Parchment Leather,,
5J8YD4H32LL004603,Performance Red Pearl,Parchment Leather,,
5J8YD4H33LL011589,Majestic Black Pearl,Ebony Leather,,
5J8YD4H33LL019059,Majestic Black Pearl,Ebony Leather,,
5J8YD4H34LL019037,Majestic Black Pearl,Ebony Leather,,
5J8YD4H37LL023468,Performance Red Pearl,Parchment Leather,,
5J8YD4H38LL004203,Performance Red Pearl,Parchment Leather,,
5J8YD4H38LL024810,Platinum White Pearl,Ebony Leather,,
5J8YD4H3XLL000217,Majestic Black Pearl,Parchment Leather,,
5J8YD4H53LL000531,Fathom Blue Pearl,Graystone Leather,,
5J8YD4H54LL002336,Platinum White Pearl,Ebony Leather,,
5J8YD4H54LL002997,Modern Steel Metallic,Espresso Leather,,
5J8YD4H56LL002189,Lunar Silver Metallic,Ebony Leather,,
5J8YD4H57LL003657,Modern Steel Metallic,Ebony Leather,,
5J8YD4H83LL023964,Platinum White Pearl,Espresso Leather,,
5J8YD4H85LL021889,Platinum White Pearl,Ebony Leather,,
5J8YD4H86LL013641,Platinum White Pearl,Espresso Leather,,
5J8YD7H72LL000071,Modern Steel Metallic,Ebony Leather,,
5J8YD7H72LL000409,Gunmetal Metallic,Ebony Leather,,
